full_address,onemap_result,hdb_LATITUDE,hdb_LONGITUDE,hdb_POSTAL
474 ANG MO KIO AVE 10,"{'SEARCHVAL': 'TECK GHEE HORIZON', 'BLK_NO': '474', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'TECK GHEE HORIZON', 'ADDRESS': '474 ANG MO KIO AVENUE 10 TECK GHEE HORIZON SINGAPORE 560474', 'POSTAL': '560474', 'X': '30748.4567525107', 'Y': '38312.3687072396', 'LATITUDE': '1.36275784702216', 'LONGITUDE': '103.858015323667'}",1.36275784702216,103.858015323667,560474.0
559 ANG MO KIO AVE 10,"{'SEARCHVAL': 'CHENG SAN PLACE', 'BLK_NO': '559', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'CHENG SAN PLACE', 'ADDRESS': '559 ANG MO KIO AVENUE 10 CHENG SAN PLACE SINGAPORE 560559', 'POSTAL': '560559', 'X': '30730.7602126142', 'Y': '39223.5345685277', 'LATITUDE': '1.37099810674697', 'LONGITUDE': '103.857856391877'}",1.37099810674697,103.857856391877,560559.0
434 ANG MO KIO AVE 10,"{'SEARCHVAL': 'CHONG BOON RISE', 'BLK_NO': '434', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'CHONG BOON RISE', 'ADDRESS': '434 ANG MO KIO AVENUE 10 CHONG BOON RISE SINGAPORE 560434', 'POSTAL': '560434', 'X': '30240.9446312711', 'Y': '38880.0179849602', 'LATITUDE': '1.3678915069194', 'LONGITUDE': '103.85345502653'}",1.3678915069194,103.85345502653,560434.0
558 ANG MO KIO AVE 10,"{'SEARCHVAL': '558 ANG MO KIO AVENUE 10 SINGAPORE 560558', 'BLK_NO': '558', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '558 ANG MO KIO AVENUE 10 SINGAPORE 560558', 'POSTAL': '560558', 'X': '30879.3986833859', 'Y': '39249.8558493126', 'LATITUDE': '1.37123613284274', 'LONGITUDE': '103.859192016193'}",1.37123613284274,103.859192016193,560558.0
534 ANG MO KIO AVE 10,"{'SEARCHVAL': 'CHENG SAN VIEW', 'BLK_NO': '534', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'CHENG SAN VIEW', 'ADDRESS': '534 ANG MO KIO AVENUE 10 CHENG SAN VIEW SINGAPORE 560534', 'POSTAL': '560534', 'X': '30320.30304706', 'Y': '39561.9293249641', 'LATITUDE': '1.37405846295585', 'LONGITUDE': '103.854168170426'}",1.37405846295585,103.854168170426,560534.0
601 ANG MO KIO AVE 5,"{'SEARCHVAL': 'MY FIRST SKOOL', 'BLK_NO': '601', 'ROAD_NAME': 'ANG MO KIO AVENUE 5', 'BUILDING': 'MY FIRST SKOOL', 'ADDRESS': '601 ANG MO KIO AVENUE 5 MY FIRST SKOOL SINGAPORE 560601', 'POSTAL': '560601', 'X': '28201.7824866865', 'Y': '40334.0512122996', 'LATITUDE': '1.38104134784496', 'LONGITUDE': '103.835131744823'}",1.38104134784496,103.835131744823,560601.0
455 ANG MO KIO AVE 10,,,,
463 ANG MO KIO AVE 10,"{'SEARCHVAL': '463 ANG MO KIO AVENUE 10 SINGAPORE 560463', 'BLK_NO': '463', 'ROAD_NAME': 'ANG MO KIO AVENUE 10', 'BUILDING': 'NIL', 'ADDRESS': '463 ANG MO KIO AVENUE 10 SINGAPORE 560463', 'POSTAL': '560463', 'X': '30689.7280863831', 'Y': '38775.686757328', 'LATITUDE': '1.36694793518613', 'LONGITUDE': '103.857487648675'}",1.36694793518613,103.857487648675,560463.0
604 ANG MO KIO AVE 5,"{'SEARCHVAL': 'YIO CHU KANG GREEN', 'BLK_NO': '604', 'ROAD_NAME': 'ANG MO KIO AVENUE 5', 'BUILDING': 'YIO CHU KANG GREEN', 'ADDRESS': '604 ANG MO KIO AVENUE 5 YIO CHU KANG GREEN SINGAPORE 560604', 'POSTAL': '560604', 'X': '28295.8099781042', 'Y': '40204.1514989082', 'LATITUDE': '1.37986658053966', 'LONGITUDE': '103.835976650638'}",1.37986658053966,103.835976650638,560604.0
538 ANG MO KIO AVE 5,"{'SEARCHVAL': 'CHENG SAN VIEW', 'BLK_NO': '538', 'ROAD_NAME': 'ANG MO KIO AVENUE 5', 'BUILDING': 'CHENG SAN VIEW', 'ADDRESS': '538 ANG MO KIO AVENUE 5 CHENG SAN VIEW SINGAPORE 560538', 'POSTAL': '560538', 'X': '30229.0046078581', 'Y': '39731.6504149698', 'LATITUDE': '1.37559336678106', 'LONGITUDE': '103.853347801104'}",1.37559336678106,103.853347801104,560538.0
