school_name,address,mainlevel_code,sap_ind,autonomous_ind,primary_school_LATITUDE,primary_school_LONGITUDE
ST. HILDA'S PRIMARY SCHOOL,2 Tampines Ave 3   ,PRIMARY,No,No,1.34938565036336,103.937007133662
ST. JOSEPH'S INSTITUTION JUNIOR,3 ESSEX ROAD   ,PRIMARY,No,No,1.31781476118551,103.845633334522
ST. MARGARET'S SCHOOL (PRIMARY),136 Sophia Road   ,PRIMARY,No,No,1.30390355715254,103.845955315605
ST. STEPHEN'S SCHOOL,20 SIGLAP VIEW   ,PRIMARY,No,No,1.31878997295135,103.917258129598
TAMPINES NORTH PRIMARY SCHOOL,30 TAMPINES AVENUE 9   ,PRIMARY,No,No,1.36047641484682,103.948725782833
TAMPINES PRIMARY SCHOOL,250 TAMPINES STREET 12   ,PRIMARY,No,No,1.3504863946694,103.943573098509
TANJONG KATONG PRIMARY SCHOOL,10 Seraya Road   ,PRIMARY,No,No,1.30498489044822,103.899999965407
TAO NAN SCHOOL,49 MARINE CRESCENT   ,PRIMARY,Yes,No,1.2943321052493,103.849026157822
TECK GHEE PRIMARY SCHOOL,1 ANG MO KIO STREET 32   ,PRIMARY,No,No,1.36558782075966,103.850957126982
TECK WHYE PRIMARY SCHOOL,11 TECK WHYE WALK   ,PRIMARY,No,No,1.38364996834457,103.753291857016
TELOK KURAU PRIMARY SCHOOL,50 BEDOK RESERVOIR RD   ,PRIMARY,No,No,1.33104585441349,103.910934011337
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,PRIMARY,No,No,1.31770677551333,103.945590669163
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10   ,PRIMARY,No,No,1.36003263746623,103.853826048327
WATERWAY PRIMARY SCHOOL,70 Punggol Drive   ,PRIMARY,No,No,1.39882800626578,103.918621581556
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,PRIMARY,No,No,1.45192019155475,103.822303719094
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,PRIMARY,No,No,1.3448790560014,103.699286360581
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,PRIMARY,No,No,1.38944145898943,103.766195711835
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD   ,PRIMARY,No,No,1.3836758200336,103.760240434318
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,PRIMARY,No,No,1.34718456606375,103.70053420978
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,PRIMARY,No,No,1.36555714668553,103.960918869319
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,PRIMARY,No,No,1.43273620725049,103.79023031392
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,PRIMARY,No,No,1.43658270720199,103.791791282236
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,PRIMARY,No,No,1.43495229315857,103.797435733144
